"","date","hits","keyword","geo","time","gprop","category"
"262",2016-10-02,0,"BOA running","world","2016-09-21 2021-09-21","web",0
"263",2016-10-09,36,"BOA running","world","2016-09-21 2021-09-21","web",0
"264",2016-10-16,0,"BOA running","world","2016-09-21 2021-09-21","web",0
"265",2016-10-23,0,"BOA running","world","2016-09-21 2021-09-21","web",0
"266",2016-10-30,54,"BOA running","world","2016-09-21 2021-09-21","web",0
"267",2016-11-06,17,"BOA running","world","2016-09-21 2021-09-21","web",0
"268",2016-11-13,0,"BOA running","world","2016-09-21 2021-09-21","web",0
"269",2016-11-20,35,"BOA running","world","2016-09-21 2021-09-21","web",0
"270",2016-11-27,17,"BOA running","world","2016-09-21 2021-09-21","web",0
"271",2016-12-04,17,"BOA running","world","2016-09-21 2021-09-21","web",0
"272",2016-12-11,17,"BOA running","world","2016-09-21 2021-09-21","web",0
"273",2016-12-18,0,"BOA running","world","2016-09-21 2021-09-21","web",0
"274",2016-12-25,37,"BOA running","world","2016-09-21 2021-09-21","web",0
"275",2017-01-01,0,"BOA running","world","2016-09-21 2021-09-21","web",0
"276",2017-01-08,17,"BOA running","world","2016-09-21 2021-09-21","web",0
"277",2017-01-15,49,"BOA running","world","2016-09-21 2021-09-21","web",0
"278",2017-01-22,33,"BOA running","world","2016-09-21 2021-09-21","web",0
"279",2017-01-29,16,"BOA running","world","2016-09-21 2021-09-21","web",0
"280",2017-02-05,16,"BOA running","world","2016-09-21 2021-09-21","web",0
"281",2017-02-12,0,"BOA running","world","2016-09-21 2021-09-21","web",0
"282",2017-02-19,49,"BOA running","world","2016-09-21 2021-09-21","web",0
"283",2017-02-26,16,"BOA running","world","2016-09-21 2021-09-21","web",0
"284",2017-03-05,0,"BOA running","world","2016-09-21 2021-09-21","web",0
"285",2017-03-12,32,"BOA running","world","2016-09-21 2021-09-21","web",0
"286",2017-03-19,16,"BOA running","world","2016-09-21 2021-09-21","web",0
"287",2017-03-26,66,"BOA running","world","2016-09-21 2021-09-21","web",0
"288",2017-04-02,49,"BOA running","world","2016-09-21 2021-09-21","web",0
"289",2017-04-09,34,"BOA running","world","2016-09-21 2021-09-21","web",0
"290",2017-04-16,33,"BOA running","world","2016-09-21 2021-09-21","web",0
"291",2017-04-23,48,"BOA running","world","2016-09-21 2021-09-21","web",0
"292",2017-04-30,17,"BOA running","world","2016-09-21 2021-09-21","web",0
"293",2017-05-07,49,"BOA running","world","2016-09-21 2021-09-21","web",0
"294",2017-05-14,68,"BOA running","world","2016-09-21 2021-09-21","web",0
"295",2017-05-21,53,"BOA running","world","2016-09-21 2021-09-21","web",0
"296",2017-05-28,71,"BOA running","world","2016-09-21 2021-09-21","web",0
"297",2017-06-04,51,"BOA running","world","2016-09-21 2021-09-21","web",0
"298",2017-06-11,35,"BOA running","world","2016-09-21 2021-09-21","web",0
"299",2017-06-18,17,"BOA running","world","2016-09-21 2021-09-21","web",0
"300",2017-06-25,70,"BOA running","world","2016-09-21 2021-09-21","web",0
"301",2017-07-02,54,"BOA running","world","2016-09-21 2021-09-21","web",0
"302",2017-07-09,0,"BOA running","world","2016-09-21 2021-09-21","web",0
"303",2017-07-16,89,"BOA running","world","2016-09-21 2021-09-21","web",0
"304",2017-07-23,18,"BOA running","world","2016-09-21 2021-09-21","web",0
"305",2017-07-30,17,"BOA running","world","2016-09-21 2021-09-21","web",0
"306",2017-08-06,34,"BOA running","world","2016-09-21 2021-09-21","web",0
"307",2017-08-13,52,"BOA running","world","2016-09-21 2021-09-21","web",0
"308",2017-08-20,17,"BOA running","world","2016-09-21 2021-09-21","web",0
"309",2017-08-27,34,"BOA running","world","2016-09-21 2021-09-21","web",0
"310",2017-09-03,17,"BOA running","world","2016-09-21 2021-09-21","web",0
"311",2017-09-10,50,"BOA running","world","2016-09-21 2021-09-21","web",0
"312",2017-09-17,100,"BOA running","world","2016-09-21 2021-09-21","web",0
"313",2017-09-24,66,"BOA running","world","2016-09-21 2021-09-21","web",0
"314",2017-10-01,49,"BOA running","world","2016-09-21 2021-09-21","web",0
"315",2017-10-08,16,"BOA running","world","2016-09-21 2021-09-21","web",0
"316",2017-10-15,16,"BOA running","world","2016-09-21 2021-09-21","web",0
"317",2017-10-22,0,"BOA running","world","2016-09-21 2021-09-21","web",0
"318",2017-10-29,16,"BOA running","world","2016-09-21 2021-09-21","web",0
"319",2017-11-05,64,"BOA running","world","2016-09-21 2021-09-21","web",0
"320",2017-11-12,16,"BOA running","world","2016-09-21 2021-09-21","web",0
"321",2017-11-19,32,"BOA running","world","2016-09-21 2021-09-21","web",0
"322",2017-11-26,16,"BOA running","world","2016-09-21 2021-09-21","web",0
"323",2017-12-03,48,"BOA running","world","2016-09-21 2021-09-21","web",0
"324",2017-12-10,32,"BOA running","world","2016-09-21 2021-09-21","web",0
"325",2017-12-17,33,"BOA running","world","2016-09-21 2021-09-21","web",0
